Dates;OH CN Equity;IAN CN Equity;CNTTF US Equity;N CN Equity;HIP CN Equity;TLRY Corp;HUGE CN Equity;CRON US Equity;APH CN Equity;WEED CN Equity;ACB CN Equity;GWPRF US Equity;SHOP US Equity;SPVNF US Equity;MN CN Equity;LEAF CN Equity;PAOTF US Equity;LULU US Equity;CBIS US Equity;HMMJ CN Equity;GRNH US Equity;MF6 GY Equity;HELIO SS Equity;BYDDF US Equity;GELYF US Equity;BABA UN Equity;TCTZF US Equity;APH US Equity;JD US Equity;9984 JT Equity;ATVI US Equity;EA US Equity;BJK US Equity;APTV US Equity;TEL US Equity;Global X-Nasda;BWA US Equity
01.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.01.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.02.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.03.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.06.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.07.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.08.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.09.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.10.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.11.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.12.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.01.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
